job_id,skill
0,Banking
0,KYC
0,"Banking Operations"
1,ERP
1,SAP
2,"Data Quality"
2,"Quality Management"
3,"Power BI"
3,"Commercial Operations"
3,"Data Management"
4,"Test Strategy"
4,"Manager Technology"
5,KYC
5,Aml
5,Banking
6,Procurement
6,"Relationship Management"
6,"Computer Science"
7,"Supply Chain"
7,"Data Modeling"
8,"Power BI"
8,"Supply Chain Planning"
8,Tableau
9,"Test Strategy"
9,Banking
10,"Test Strategy"
10,Banking
11,Mdg
11,Cmd
11,"Master Data"
12,"Computer Science"
12,"Ms Sql"
13,"Power BI"
13,Mis
14,Rpa
14,"Power BI"
14,"Power Apps"
15,"Data Warehouse"
15,"Power BI"
16,"Test Strategy"
16,"Manager Technology"
17,"Aws Technologies"
17,Excel
17,SQL
18,"Stress Testing"
18,"Audit Compliance"
18,"Regulatory Reporting"
19,Usage
19,"Test Strategy"
20,"Test Strategy"
20,"Senior Data Analyst"
21,Retail
21,"Test Strategy"
22,Usage
22,"Test Strategy"
23,"Hl7 Fhir Implementation"
23,"Agile Methodologies"
23,Fhir
24,Pl/Sql
24,"Sttm Creation"
24,"Data Mapping"
25,"Data Management"
25,Rdbms
25,"Project Management"
26,"Reference Data"
26,"It Business Analyst"
26,"It Jobs In Bfsi"
27,Ctms
27,Cdms
27,Veeva
28,"Predictive Modeling"
28,"Logistic Regression"
28,Sas
29,Automation
29,SAP
29,"Project Management"
30,"Query Optimization"
30,Msql
30,"Stored Procedures"
31,"Ab Analysis"
31,Pricing
31,"Price Framework"
32,"Agile Methodologies"
32,Carin
32,Fhir
33,"Data Visualization"
33,Qlikview
34,Pl/Sql
34,"Sttm Creation"
34,"Data Mapping"
35,"Predictive Modeling"
35,"Data Quality"
36,Automation
36,C
37,"Power BI"
37,Dax
37,Aws
38,Bfsi
38,"Data Collection"
39,"Computer Science"
39,"Machine Learning"
40,"Energy Management"
40,"Energy Audit"
41,"Advance Excel"
41,"Power BI"
42,"Supply Chain"
42,"Data Management"
43,R
43,Tableau
43,Python
44,R
44,"Data Visualization"
45,ETL
45,Scm
46,Automation
46,"Natural Language Processing"
46,Pandas
47,Python
48,"Stakeholder Management"
48,"Data Products"
49,Merging
49,"Data Cleansing"
50,KYC
50,Aml
50,Banking
51,"Supply Chain"
51,Automation
51,SAP
52,ETL
52,"Banking Domain"
52,SQL
53,Derivatives
53,Excel
53,Swap
54,SAP
54,"Variance Analysis"
55,SAP
55,"Quality Deviation"
56,"Data Cleansing"
56,"Power BI"
57,Automation
57,"Corporate Actions"
57,"Data Management"
58,Automation
58,"Data Management"
59,"Data Mining"
59,"Data Cleansing"
60,"Computer Science"
60,Usage
60,SAP
61,"Product Management"
61,"Executive Leadership"
61,"Change Management"
62,"Data Reporting"
63,Hl7
63,Hl
63,Fhir
64,"Machine Learning"
65,"Configuration Management"
65,"Technical Support"
65,"It Support"
66,Sas
66,Finance
67,"Data Querying"
67,"Power BI"
68,"Data Modeling"
68,ETL
69,"Google Sheets"
69,Automation
69,"Power BI"
70,"Data Transformation"
70,"Metadata Management"
70,Sas
71,Automation
71,Finance
72,Iics
72,Postgresql
72,"Pl Sql Procedures"
73,"Hr Analytics"
73,"Hr Operations"
73,"Hr Jobs In It/Ites"
74,T-Sql
74,"Sql Development"
74,"Sql Queries"
75,"Data Cleansing"
75,Sas
76,Sas
76,"Data Management"
77,Excel
77,"Credit Risk Management"
77,"Model Validation"
78,"Data Modeling"
79,Ssi
79,"Swift Messaging"
79,"Trade Settlements"
80,Regression
80,"Ab Testing"
80,Hypothesis
81,"Hr Analytics"
82,Excel
82,"Power BI"
82,Bigquery
83,Unix
83,"Financial Statements"
83,"Manager Quality Assurance"
84,Automation
84,"Manager Quality Assurance"
85,Cvs
85,"Corporate Actions"
85,Networking
86,"Data Engineering"
86,"Sql Development"
87,"Data Management"
87,"Etl Tool"
87,"Sql Azure"
88,Python
88,"Power BI"
88,Tableau
89,"Data Modeling"
89,Underwriting
90,"Print Design"
90,Illustrator
90,"Graphic Designing"
91,"Web Analytics"
92,Automation
92,Linux
93,"Mis Report"
93,"Mis Operations"
93,Vlookup
94,R
94,Nosql
94,"Gcp Bq"
95,"Hr Mis"
95,"People Analytics"
95,"Power BI"
96,"Career Development"
96,"Change Management"
96,Metadata
97,"Data Science"
97,"Predictive Modeling"
98,Finance
98,Commerce
99,"Etl Development"
99,"Data Warehousing"
99,"Dwh Implementation"
100,Finance
100,"Advanced Excel"
101,Python
102,"Google Analytics"
102,"Data Extraction"
103,"Financial Analytics"
103,Mis
103,"Data Modeling"
104,"Data Management"
104,"Etl Tool"
104,"Data Warehousing Concepts"
105,"Computer Science"
105,"Data Validation"
106,"Data Validation"
106,"Power BI"
106,Snowflake
107,Cleaning
107,"Data Processing"
108,"Data Visualization"
108,"Power BI"
109,Wireless
109,"Computer Science"
109,"Ms Sql"
110,"Big Query"
110,"Power BI"
110,Scripts
111,Hive
111,"Data Visualization"
111,Spark
112,Metadata
112,Usage
113,Usage
113,Tableau
113,Git
114,"Manager Technology"
115,"Google Sheets"
115,"G Suite"
115,"Google Apps Script"
116,Tableau
116,"Power BI"
117,"Analytical Skills"
117,"Copy Writing"
117,"Digital Campaigns"
118,"Stakeholder Engagement"
118,Consulting
119,Macros
119,"Data Management"
120,"Order Management"
120,Procurement
120,"Business Process"
121,Plm
121,Pharma
122,Excel
122,Coding
122,"Senior Data Analyst"
123,Excel
123,Coding
124,Payroll
124,"Data Analyst In Payroll"
124,Mis
125,"Reference Data"
125,Cfa
126,"Business Intelligence"
126,"Business Consulting"
126,"Statistical Tools"
127,"Power BI"
127,"Data Visualization"
128,Excel
128,Reports
128,Data
129,"Redshift Db"
129,"Data Warehousing"
129,ETL
130,Administration
130,"Manager Quality Assurance"
130,Publishing
131,"Hr Mis"
131,"Excel Dashboards"
132,"Power BI"
132,"Statistical Modeling"
132,"Data Visualization"
133,"Analytical Skills"
133,Excel
133,"Software Packages"
134,"Data Management"
134,"Mis Analysis"
135,Excel
135,Sas
136,"Customer Acquisition"
136,"Associate Data Analyst"
136,Reconciliation
137,Tableau
137,"Data Modeling"
137,"Agile Development"
138,"Data Visualization"
139,"Data Management"
139,Schema
140,SQL
140,Consulting
141,"Cost Optimization"
141,"Variance Analysis"
142,"Analytical Skills"
142,"Data Services"
142,"Document Review"
143,"Pivot Table"
143,"Power BI"
143,Vlookup
144,"Data Management"
144,"Advanced Excel"
145,Python
145,Pyspark
147,Eda
147,Insights
147,"Power BI"
148,Modification
148,"People Management"
148,"Clearing Data Quality"
149,Derivatives
149,"Fixed Income Cash"
150,"Data Management"
151,"Structured Finance"
151,"Financial Data Analyst"
151,"Credit Analysis"
152,"Data Management"
152,"Data Extraction"
153,"Power BI"
153,"Reports And Dashboards"
153,Tableau
154,"Dashboard Design"
155,SQL
156,Tableau
157,"Computer Science"
157,"Test Strategy"
157,"Agile Project Management"
158,Metadata
158,Python
158,"Data Management"
159,"Investment Products"
159,Tableau
159,Excel
160,SQL
160,Sas
161,Procurement
161,ERP
161,"Business Objects"
162,Python
162,"Power BI"
163,Excel
163,"Power BI"
163,Tableau
164,Recruitment
164,SQL
165,"Data Validation"
165,Countif
165,"Power BI"
166,Marketing
166,Operations
166,Data
167,"Data Presentation"
167,"Data Manipulation"
167,"Data Management"
168,"Data Modeling"
168,Erwin
169,"Sales Analytics"
170,"Data Management"
170,"Corporate Governance"
170,"Service Industry"
171,"Computer Science"
171,"Data Management"
171,"Renewable Energy"
172,"Business Analysis"
172,"Database Management"
173,"Manager Quality Assurance"
173,Sas
174,Python
174,"Process Analysis"
175,"Power BI"
175,"Mis Analysis"
176,"Predictive Analytics"
177,"Data Handling"
177,"Attrition Analysis"
177,Pms
178,"Front Office"
178,"Data Management"
179,"Data Management"
180,"Project Management"
180,Bigquery
180,"Google Analytics"
181,"Google Data Studio"
181,"Advance Excel"
182,"Argus Safety"
182,"Bi Publisher"
182,"Oracle Argus"
183,Healthcare
183,Ehr
184,Chemdraw
184,"Patient Analysis"
184,Articles
185,"Data Modelling"
185,"Data Extraction"
185,"Data Cleansing"
186,"Business Analytics"
187,Excel
187,"Power BI"
187,Saas
188,"Data Quality Management"
189,"Data Science"
189,Python
190,Coding
190,"Data Visualization"
191,"Consulting - Telecom"
192,Troubleshooting
192,Recruitment
192,SQL
193,"Junior Analyst"
193,Training
193,"Corporate Governance"
194,"Marketing Campaigns"
194,"Market Research And Analysis"
194,"Pricing Strategy"
195,Tableau
196,"Predictive Modeling"
196,"Power BI"
196,Sas
197,Tableau
197,Aws
197,Python
198,"Mis Preparation"
198,"Loan Origination"
198,"Power BI"
199,"Power BI"
199,"Data Driven"
199,"Data Visualization"
200,"Azure Synapse"
200,"Azure Data Factory"
200,"Elastic Search"
201,"Computer Science"
201,"Social Media"
202,"Data Transformation"
202,"Data Mining"
203,"Data Warehousing"
203,SQL
204,SQL
206,"Clinical Data Co-Ordinator"
206,"Data Validation"
206,Edc
207,Healthcare
208,SQL
209,"Data Anlalytics"
209,"Power BI"
209,"Data Science"
210,"Data Science"
210,"Business Writing"
211,"Workforce Planning"
212,"Statistical Programming"
212,Automation
213,ERP
213,"Azure Cloud"
213,Snowflake
214,SQL
215,Medical
215,Python
215,"Data Management"
216,SQL
216,Python
216,"Production Support"
217,"Power BI"
217,"Sql Queries"
218,"Data Modeling"
218,Powerdesigner
219,Python
219,SQL
220,"Power BI"
221,"Power BI"
221,Tableau
221,SQL
222,"Google Sheets"
222,Excel
222,"Business Analyst"
223,"Predictive Modeling"
223,R
223,"Power BI"
224,Telecom
224,Bfsi
225,"Business Analytics"
225,"Manager Quality Assurance"
225,"Data Collection"
226,Strategy
226,Tableau
227,Algorithms
227,"Process Automation"
227,"Data Engineering"
228,R
228,"Sql Queries"
229,CRM
230,Spss
230,"Data Management"
231,Excel
231,"Power BI"
231,"Data Visualization"
232,"Machine Learning"
232,Python
232,Spark
233,"Statistical Analyst"
234,"Business Intelligence"
235,"Data Transformation"
235,"Data Quality"
235,"Data Management"
236,"Power BI"
236,"Sql Database"
237,SQL
238,Iics
238,Powercenter
238,Postgresql
239,"Customer Service"
239,SQL
240,Tableau
240,SQL
240,"Analytics Dashboards"
241,"Data Cleansing"
241,Trade
241,Excel
242,"Gap Analysis"
242,"Requirements Management"
242,"Business Analytics"
243,"Communication Skills"
243,"Analytical Skills"
243,"Data Extraction"
244,R
244,Stata
244,"Ngo Management"
245,"Data Scientist"
245,"Ai Technology"
246,"Business Analysis"
247,Tableau
247,"Ab Testing"
247,SQL
248,Tableau
248,"Ab Testing"
248,Python
249,"Power BI"
249,Tableau
249,"Sql Server"
250,Sheduling
250,"Variant Onfiguration"
250,SAP
251,"Customer Service"
251,"Credit Rating"
252,"Customer Service"
252,"Credit Rating"
253,Mining
253,Sas
253,"Technical Writing"
254,"Computer Science"
254,Mining
254,Sas
255,"Business Strategy"
255,"Sales Analysis"
255,"Team Handling"
256,Pyspark
256,SQL
256,Python
257,"Advance Excel"
257,"Power BI"
257,"Mis Reporting"
258,"Excellent Communication In English"
258,E-Commerce
259,"Excellent Communication In English"
259,E-Commerce
260,"Supply Chain"
260,"Linear Regression"
261,Vba
262,"Advance Excel"
262,"Looker Studio"
263,"Predictive Modeling"
263,Azure
263,"Big Data"
264,Billing
264,Excel
264,"Stock Management"
265,"Power BI"
265,"Data Visualization Tools"
266,"Data Extraction"
266,"Data Mining"
266,"Data Cleansing"
267,"Global Operations"
268,Formulas
268,"Advanced Excel"
268,Calculation
269,"Data Management"
270,SQL
270,Python
271,"Business Analytics"
271,"Corporate Governance"
272,"Data Visualization"
272,"Data Visualization Tools"
272,"Business Intelligence"
273,"Business Intelligence"
274,"Database Design"
274,"Etl Frameworks"
274,Excel
275,"Power BI"
275,"Data Validation"
275,"Business System Analyst"
276,"Data Extraction"
276,"Data Mining"
276,"Data Cleansing"
277,Pyspark
277,Python
278,"Business Process"
278,"Process Design"
278,"Stakeholder Engagement"
279,Automation
279,Operations
280,Python
281,"Data Visualization"
282,SQL
282,Python
283,SQL
283,"Business Analysis"
284,"Predictive Modeling"
285,Tableau
285,Excel
286,"Sap Fico"
286,"Fixed Assets"
286,Fscm
287,"Google Sheets"
287,"Google Analytics"
287,"Advanced Excel"
288,R
288,C
289,Backend
289,"Data Processing"
290,"Big Data Analytics"
290,"Database Management"
290,"Data Visualization"
291,Automotive
291,"Machine Learning"
291,"Artificial Intelligence"
292,"Supply Chain"
292,"Electronic Trading"
292,"Data Management"
293,SQL
293,"Data Modeling"
293,"Google Analytics"
294,Tableau
294,"Power BI"
294,"Dax Power Bi"
295,Mining
295,"Computer Science"
295,"Data Validation"
296,Arima
296,Python
296,"Project Management"
297,R
297,Azure
297,"Ms Excel"
298,"Data Security"
298,On-Premises
299,Tableau
300,"Business Intelligence"
300,"Data Mining"
